192.168.100.47
15:21
0
5
S;11;Pillauer Straße 17:06;Fachhochschule 17:01 • Hermannstr. 17:04;17:00;0
F;F2;Reventloubrücke 17:21 -> F1 Bahnhof ab 17:21;Wellingdorf 17:09;17:03;-1
S;11;Wik Kanal 17:50;Seefischmarkt 17:11 • Hbf 17:29 • Dreiecksplatz 17:37 • Ansgarkirche 17:39 • Elendsredder 17:46;17:06;0
S;60S;Botanischer Garten 17:40;Seefischmarkt 17:10 • Hbf 17:22 • Dreiecksplatz 17:30 • Ansgarkirche 17:32 • Universität 17:35;17:06;0
S;11;Pillauer Straße 17:13;Fachhochschule 17:08 • Hermannstr. 17:11;17:07;0
S;11;Wik Kanal 17:57;Seefischmarkt 17:18 • Hbf 17:36 • Dreiecksplatz 17:44 • Ansgarkirche 17:46 • Elendsredder 17:53;17:13;0
S;11;Pillauer Straße 17:21;Fachhochschule 17:16 • Hermannstr. 17:19;17:15;0
S;11;Wik Kanal 18:05;Seefischmarkt 17:26 • Hbf 17:44 • Dreiecksplatz 17:52 • Ansgarkirche 17:54 • Elendsredder 18:01;17:21;0
S;60S;Botanischer Garten 17:55;Seefischmarkt 17:25 • Hbf 17:37 • Dreiecksplatz 17:45 • Ansgarkirche 17:47 • Universität 17:50;17:21;0
S;11;Pillauer Straße 17:28;Fachhochschule 17:23 • Hermannstr. 17:26;17:22;0
S;11;Wik Kanal 18:12;Seefischmarkt 17:33 • Hbf 17:51 • Dreiecksplatz 17:59 • Ansgarkirche 18:01 • Elendsredder 18:08;17:28;-1
S;11;Pillauer Straße 17:36;Fachhochschule 17:31 • Hermannstr. 17:34;17:30;0
F;F2;Reventloubrücke 17:51 -> F1 Bahnhof ab 18:09;Wellingdorf 17:39;17:33;-1
S;11;Wik Kanal 18:20;Seefischmarkt 17:41 • Hbf 17:59 • Dreiecksplatz 18:07 • Ansgarkirche 18:09 • Elendsredder 18:16;17:36;-1
S;60S;Botanischer Garten 18:10;Seefischmarkt 17:40 • Hbf 17:52 • Dreiecksplatz 18:00 • Ansgarkirche 18:02 • Universität 18:05;17:36;-1
S;11;Pillauer Straße 17:43;Fachhochschule 17:38 • Hermannstr. 17:41;17:37;0
S;11;Wik Kanal 18:27;Seefischmarkt 17:48 • Hbf 18:06 • Dreiecksplatz 18:14 • Ansgarkirche 18:16 • Elendsredder 18:23;17:43;-1
S;11;Pillauer Straße 17:51;Fachhochschule 17:46 • Hermannstr. 17:49;17:45;0
S;11;Wik Kanal 18:35;Seefischmarkt 17:56 • Hbf 18:14 • Dreiecksplatz 18:22 • Ansgarkirche 18:24 • Elendsredder 18:31;17:51;-1
S;60S;Botanischer Garten 18:25;Seefischmarkt 17:55 • Hbf 18:07 • Dreiecksplatz 18:15 • Ansgarkirche 18:17 • Universität 18:20;17:51;-1
